date,usd_jpy,aluminum,copper,nickel,lead,tin,zinc,iron_ore
2013-03-01,94.27999877929688,180.03,720.83,1576.83,204.53,2196.4,181.59,139.87
2013-04-01,97.86399841308594,182.19,707.98,1533.82,198.41,2119.95,181.64,137.39
2013-05-01,101.0999984741211,185.22,732.92,1511.24,205.53,2100.44,185.17,124.01
2013-06-01,99.37999725341795,180.33,695.68,1419.17,208.67,2014.17,182.76,114.82
2013-07-01,98.01599884033205,173.45,676.96,1347.75,200.71,1917.57,180.12,127.19
2013-08-01,98.1500015258789,178.4,705.99,1405.01,213.4,2124.4,186.37,137.06
2013-09-01,97.8270034790039,172.3,700.37,1350.15,203.96,2224.1,180.67,134.19
2013-10-01,98.50700378417967,178.75,709.55,1390.69,208.38,2275.67,185.67,132.57
2013-11-01,102.43000030517578,179.04,724.25,1401.65,214.03,2338.16,191.18,136.32
2013-12-01,104.93399810791016,182.57,757.09,1461.16,224.22,2388.52,207.24,135.79
2014-01-01,102.75800323486328,177.51,749.26,1449.02,220.23,2267.24,209.31,128.12
2014-02-01,102.11000061035156,173.09,730.01,1450.32,215.25,2330.22,207.75,121.37
2014-03-01,102.88899993896484,175.46,684.22,1613.1,211.24,2368.95,206.59,111.83
2014-04-01,102.56400299072266,185.71,684.47,1781.91,214.06,2400.53,207.92,114.58
2014-05-01,101.83299255371094,178.31,701.74,1975.67,213.58,2369.78,209.67,100.56
2014-06-01,101.44300079345705,186.55,691.96,1889.76,213.73,2309.05,215.88,92.74
2014-07-01,102.83999633789062,200.36,731.54,1966.06,225.55,2306.09,237.62,96.05
2014-08-01,104.11799621582033,211.41,729.02,1936.62,232.9,2314.65,242.28,92.61
2014-09-01,109.38999938964844,217.73,751.75,1972.83,231.6,2307.09,251.01,82.38
2014-10-01,109.21299743652344,212.55,735.82,1726.92,222.17,2165.74,248.66,81.06
2014-11-01,118.82599639892578,244.25,797.66,1878.29,241.24,2380.5,267.74,73.73
2014-12-01,119.45800018310548,228.1,770.08,1906.79,231.52,2368.82,259.91,68.39
2015-01-01,117.4499969482422,213.14,684.8,1744.04,216.48,2284.89,248.18,68.23
2015-02-01,119.61722564697266,217.44,685.32,1743.28,214.79,2181.09,250.93,62.75
2015-03-01,120.01300048828124,212.89,712.84,1650.84,215.12,2090.86,243.47,58.05
2015-04-01,118.97000122070312,216.43,718.83,1526.49,238.58,1891.73,263.25,52.28
